,location,title,company,salary,summary,rating,JT
2660,"Noida, Uttar Pradesh",Jr. Data Scientist,xtLytics,NA,"
Use strong business acumen, as well as an ability to communicate findings and mine vast amounts of data for useful insights.
",NA,Data+Scientist
2661,"Chennai, Tamil Nadu",Data Science Application Developer,Accenture,NA,"
Key Responsibilities : A:10 years experienced ML Engineer 5 years, with background in statistics and software development methodologies B:Highly adept at…
",4.0,Data+Scientist
2662,"Bengaluru, Karnataka",Machine Learning Engineer,HP,NA,"
Experience in solving data science problems using machine learning, data mining algorithms and big data tools.
Run machine learning tests and experiments.
",4.0,Data+Scientist
2663,"Bengaluru, Karnataka",Lead Data Scientist,Blinkit,NA,"
Experience with big data tools like Spark, Hadoop is a plus.
Collaborate with various stakeholders to identify complex business problems and break them down…
",NA,Data+Scientist
2664,"Delhi, Delhi+1 location",CCO Data Analytics Lead,Barclays,NA,"
Mentor and train junior team members and CCO data specialists in basic and advanced data science and analytics techniques.
",3.9,Data+Scientist
2665,"Bengaluru, Karnataka",Customer Segmentation Analytics Associate,"JPMorgan Chase Bank, N.A.",NA,"
Become a trusted partner and thought leader on customer data and data science & analytics techniques.
Build expertise on customer data from all Chase lines of…
",3.8,Data+Scientist
2666,"Chennai, Tamil Nadu",Principal Architect Big Data,BigTapp,NA,"
Performs the data analysis activities to capture data requirements clearly, completely and correctly, and represent them in a formal and visual way through the…
",NA,Data+Scientist
2667,"Bengaluru, Karnataka",Head of Performance and Analytics for Quality and Operations,Hitachi Energy,NA,"
Continue to enhance data accuracy, integrity and report outcomes.
Lead evaluation of emerging technologies to reduce complexity, improve transparency and…
",3.6,Data+Scientist
2668,"Bengaluru, Karnataka","Data Scientist, Data & Analytics",Thomson Reuters,NA,"
Knowledge of advanced statistical modelling, testing, data mining, and data science techniques.
Experience with Tableau and other data visualization tools would…
",3.9,Data+Scientist
2669,"Bengaluru, Karnataka",Data Scientist – Senior Consultant,Deloitte,NA,"
Strong experience in developing data structures, complex data architectures, a variety of theory and techniques in machine learning, data mining and big data.
",4.0,Data+Scientist
2670,"Bengaluru, Karnataka",Data Scientist II- Time Prediction View Jobs,Swiggy,NA,"
Experience in mentoring a small team of data scientists preferably in a startup or tech company.
We are a group of data scientists, operations research…
",3.9,Data+Scientist
2671,"Bengaluru, Karnataka","Applied Scientist II, Amazon Go",ADCI - Karnataka,NA,"
As a computer vision scientist, you will help solve a variety of technical challenges and mentor other engineers.
",3.5,Data+Scientist
2672,"Mumbai, Maharashtra",Technical Lead - Machine Learning,IDfy,NA,"
You are a seasoned machine learning engineer (or data scientist).
Work on all aspects of a production machine learning platform: acquiring data, training and…
",4.3,Data+Scientist
2673,"Pune, Maharashtra",Senior Data Scientist - Consultant,TransUnion,NA,"
We are looking to hire data scientists who would be part of Datalab team to support all internal analytics requirements and assist with research and development…
",3.8,Data+Scientist
2674,"Bengaluru, Karnataka",Director Product Management – Data Platform and Analytics,Algonomy,NA,"
Drive product vision and execution for our data platform and analytics, including both real-time and historical analytics across all product areas, data…
",NA,Data+Scientist
2675,Goa,Site QA Leader,Procter & Gamble,NA,"
To unlock business building insights in our mountains of data.
Executing research and analytics, including data source identification, processing, model…
",4.1,Data+Scientist
2676,"Gurgaon, Haryana","Senior Consultant - Machine learning , Actuarial",Optum,NA,"
Experience building robust data pipelines using a variety of data sources, programming languages, and toolsets.
",3.4,Data+Scientist
2677,"Bengaluru, Karnataka",Lead Data Analyst - Risk Analytics,GO-JEK,NA,"
Data querying, data modeling, data transformations, data visualization,.
We use big data with human intelligence to make the best decision.
",NA,Data+Scientist
2678,"Pune, Maharashtra",Sr NLP & Text Mining Data Scientist,Evolent Health,NA,"
Perform analysis of provider and claims data sets.
Create credentialing and provider data management auditing tools and collateral to support delivery of…
",3.1,Data+Scientist
2679,"Hyderabad, Telangana+1 location",Applied Scientist II,Amazon Dev Center India - Hyd,NA,"
Masters in Computer Science, Mathematics, Statistics, or other quantitative field with exposure to statistical modeling and machine learning.
",3.5,Data+Scientist
2680,"Bengaluru, Karnataka",Principal Data scientist,Bosch Group,NA,"
Convert the system requirements to software/model requirements for DL model , meaning you will understand overall data collection strategy of the project to…
",4.1,Data+Scientist
2681,"Indore, Madhya Pradesh",Data Scientist,GenieTalk,NA,"
Proficiency in Python data science tools.
Extending company’s data with third party sources of information when needed.
",2.5,Data+Scientist
2682,"Mumbai, Maharashtra",Senior Executive - Data Scientist,The Walt Disney Company (Corporate),NA,"
Candidates should have an inherent passion for data and data driven thinking and be adept at extracting patterns from volumes of data to drive strategy and…
",4.1,Data+Scientist
2683,Remote in India,AI Data Engineer with Scala,Lingaro Group,NA,"
Experience in designing and implementing data pipeline.
Big data technologies: Spark, Azure Databricks.
Design, delivery and management of industrialized data…
",NA,Data+Scientist
2684,"Chennai, Tamil Nadu",Data Analytics Specialist (Internal Audit),DTCC,NA,"
Develop routine data validation checks to increase accuracy and integrity of data and output produced.
Use data analysis methods and technologies to automate…
",3.7,Data+Scientist
2685,"Bengaluru, Karnataka",Data Science Analyst,Perfect Day,NA,"
Build data science tools/ infrastructure for data extraction and data integration from different R&D processes, construct analytical and data visualization and…
",NA,Data+Scientist
2686,"Remote in Sholinganallur, Chennai, Tamil Nadu","Sr. Scientist / Sr. Associate - Data Visualization, Manufact...",Pfizer,NA,"
Perform data engineering and data warehousing operations to create data pipeline for analytics solution development.
",4.2,Data+Scientist
2687,"Delhi, Delhi",Sr.Data Scientist,Innefu Labs Pvt. Ltd.,NA,"
Must be able to handle deployment complexities like big data management, model integration to existing environment.
Minimum 2+ Yrs. of experience in NLP.
",3.5,Data+Scientist
2688,India,Data Scientist,Agnik,NA,"
AGNIK is hiring a Data Science Intern with some background in the following areas and strong motivation.
Some Experience in Programming in C++/Java/Distributed…
",4.3,Data+Scientist
2689,"Pune, Maharashtra",Associate Data Scientist,Innoplexus,NA,"
Develop solutions for realworld noisy data, large-scale problems.
Analyse and extract relevant information from large amounts of data to help in automating the…
",4.4,Data+Scientist
2690,"Bengaluru, Karnataka",newDeep Learning Deployment Engineer (Cloud),Conxai Technologies GmbH,"₹20,00,000 - ₹28,00,000 a year","
We are building the first NO-CODE AI PLATFORM for the AEC industry, with the 3rd generation Explainable AI, that allows users to create complex use cases with…
",NA,Data+Scientist
2691,"Remote in Hyderabad, Telangana+1 location",newNLP Developer,PokerStars,NA,"
The NLP Developer role is part of the International Automation Function within our Customer & Product org, created to deliver a consistent and transformational…
",NA,Data+Scientist
2692,"Bengaluru, Karnataka",Junior Data Scientist,Newton School,NA,"
Take ownership of building data modelling pipelines for scalable and continuous systems.
Working knowledge of Data pipeline and data-science model deployment …
",NA,Data+Scientist
2693,"Bengaluru, Karnataka",Data Science-Analyst/Consultant-A&C,Deloitte,NA,"
Implement large-scale data ecosystems including data management, governance and the integration of structured and unstructured data to generate insights…
",4.0,Data+Scientist
2694,"Bengaluru, Karnataka",newSenior Manager - Marketing & User Data analytics,Philips,NA,"
Ability to optimise performance of run time for different solutions on the data infrastructure.
As part of MDA, this position will be responsible for Building…
",4.0,Data+Scientist
2695,"Hyderabad, Telangana",Machine Learning Engineer,DeepEdge,NA,"
Machine Learning engineers with 1-3 years of industry experience.
",NA,Data+Scientist
2696,"Mumbai, Maharashtra",Senior Data Scientist,Crimson AI,NA,"
Experience of handling various data types and structures—structured and unstructured data—validating and cleaning data, and measuring evaluation.
",NA,Data+Scientist
2697,"Bengaluru, Karnataka",NLP Data Scientist,HEAPS Health,NA,"
Proficiency in handling unstructured and semi-structured data.
Perform relevant data analysis and benchmark the NLP solutions to improve our offerings.
",NA,Data+Scientist
2698,"Mumbai, Maharashtra",Mid Level Data Scientist,Everestek,NA,"
Extending data from multiple sources of information when needed.
Enhancing data collection procedures to include information that is relevant for building…
",NA,Data+Scientist
2699,"Hyderabad, Telangana","Machine Learning Engineer, GSI",Salesforce,NA,"
Develop skills to integrate forward into a data scientist role and contribute to product innovation.
Work with data scientists, data analysts to design best…
",4.3,Data+Scientist
2700,"Remote in Delhi, Delhi",Machine Learning Engineer,Insta Admission Private Limited,"₹15,000 a month","
Understanding of data structures, data modeling and software architecture.
Study and transform data science prototypes.
Total work: 1 year (Preferred).
",NA,Data+Scientist
2701,"Mumbai, Maharashtra",Machine Learning Engineer,Quantiphi,NA,"
Working closely with business and data team to ensure smooth delivery.
Working closely with business and data team to ensure smooth delivery.
",2.0,Data+Scientist
2702,"Hyderabad, Telangana","Associate Engineer, Data Scientist",Micron,NA,"
Ability to extract data from different databases via SQL and other query languages and applying data cleansing, outlier identification, and missing data…
",3.7,Data+Scientist
2703,"Bengaluru, Karnataka",Sr Data Scientist - Uber for Business,Uber,NA,"
Identifying new opportunities and shaping the product roadmap through data insights.
Strong problem solving skills and ability to translate ambiguous,…
",3.7,Data+Scientist
2704,"Gurgaon, Haryana",Data Scientist,MobiKwik,NA,"
Scientist, you will be able to work with large data set generated by millions of MobiKwik users.
Extensive experience with data manipulation and analysis using…
",3.9,Data+Scientist
2705,"Bengaluru, Karnataka",Director - Sales Analytics,Innovacer,NA,"
Experience with data modeling, machine learning algorithms, and data science techniques.
Experience in effectively working with stakeholders in sales and other…
",NA,Data+Scientist
2706,"Navi Mumbai, Maharashtra",Program Manager (Data Science & Analytics),Testbook,NA,"
Lead a team of Course Designers, Teachers and Subject Matter Experts.
Design and Build SOPs and Processes for various initiatives to improvise the learning…
",4.3,Data+Scientist
2707,"Bengaluru, Karnataka","Data Science Analyst, Data Operations",Cisco Systems,NA,"
Interpret large raw data sets; conduct data analysis and audits.
Use reporting tools, download data, and analyze data.
",4.1,Data+Scientist
2708,"Hyderabad, Telangana",Data Scientist & Business Development,Grid Logic Software Private Limited,NA,"
Proven experience as a data scientist or data analyst.
You will continuously drive data culture and evangelize use of data science in all possible aspects of…
",NA,Data+Scientist
2709,"Hyderabad, Telangana",Data science engineer,Micron,NA,"
Developing new or enhancing data acquisition and ETL pipelines from various sources into data ecosystems that will create new insights on business needs.
",3.7,Data+Scientist
2710,"Hyderabad, Telangana","Innovation Engineer, People Analytics",Micron,NA,"
You will be working closely with the data engineering and advance analytics teams who are building and managing data structures in the People Data Warehouse …
",3.7,Data+Scientist
2711,Telangana+1 location,Senior Lead Analytics Consultant,WELLS FARGO BANK,NA,"
Advanced experience with data management including data modeling, data integrity and data quality.
Experience in data processing, database programming, and/or…
",3.7,Data+Scientist
2712,"Bengaluru, Karnataka",Lead Quantitative Analytics Specialist,Wells Fargo,NA,"
Expertise in multiple analytic tools: Python, R, SAS programming and data manipulation using SQL.
This role would require working closely with data engineers,…
",3.7,Data+Scientist
2713,"Bengaluru, Karnataka",newGlobal Treasury Management Sales Enablement Analytics Leader,Wells Fargo,NA,"
Ensures adherence to data management/data governance regulations and policies.
Maintain reference data that supports the entire insights & reporting processes.
",3.7,Data+Scientist
2714,"Bengaluru, Karnataka",Senior Quantitative Analytics Specialist,Wells Fargo,NA,"
Proven experience in identifying threshold values for the related model monitoring metrics and suggestions being passed on to data scientist and business when…
",3.7,Data+Scientist
2715,"Bengaluru, Karnataka",AI/ML Lead Product manager,Wells Fargo,NA,"
Technical software development experience in the field of data driven products is a plus.
Good to have certifications in Data Science, AI/ML or Big data.
",3.7,Data+Scientist
2716,"Bengaluru, Karnataka",AI/ML engineering architect,Wells Fargo,NA,"
The incumbent will need to translate business requirements and cross-collaborate with data science, data engineers, ML Ops and technology teams to design…
",3.7,Data+Scientist
2717,"Bengaluru, Karnataka",Quantitative Analytics Senior Manager,Wells Fargo,NA,"
Understanding and adherence to data management/data governance regulations and policies.
Identifies and recommends internal and external data sources, compiles/…
",3.7,Data+Scientist
2718,"Hyderabad, Telangana","Manager, GP COE Data Science and Engineering",Micron,NA,"
Mentor and develop team of data engineers, data science engineers and data architect.
Partner with the business analysis team in all aspects of data, from…
",3.7,Data+Scientist
2719,"Bengaluru, Karnataka",Senior Quantitative Analytics Specialist,Wells Fargo,NA,"
Proven experience in identifying threshold values for the related model monitoring metrics and suggestions being passed on to data scientist and business when…
",3.7,Data+Scientist
2720,"Chennai, Tamil Nadu",Data Science Application Developer,Accenture,NA,"
Key Responsibilities : A:10 years experienced ML Engineer 5 years, with background in statistics and software development methodologies B:Highly adept at…
",4.0,Data+Scientist
2721,"Bengaluru, Karnataka",Machine Learning Engineer,HP,NA,"
Experience in solving data science problems using machine learning, data mining algorithms and big data tools.
Run machine learning tests and experiments.
",4.0,Data+Scientist
2722,"Bengaluru, Karnataka",Lead Data Scientist,Blinkit,NA,"
Experience with big data tools like Spark, Hadoop is a plus.
Collaborate with various stakeholders to identify complex business problems and break them down…
",NA,Data+Scientist
2723,"Delhi, Delhi+1 location",CCO Data Analytics Lead,Barclays,NA,"
Mentor and train junior team members and CCO data specialists in basic and advanced data science and analytics techniques.
",3.9,Data+Scientist
2724,"Bengaluru, Karnataka",Customer Segmentation Analytics Associate,"JPMorgan Chase Bank, N.A.",NA,"
Become a trusted partner and thought leader on customer data and data science & analytics techniques.
Build expertise on customer data from all Chase lines of…
",3.8,Data+Scientist
2725,"Chennai, Tamil Nadu",Principal Architect Big Data,BigTapp,NA,"
Performs the data analysis activities to capture data requirements clearly, completely and correctly, and represent them in a formal and visual way through the…
",NA,Data+Scientist
2726,"Bengaluru, Karnataka",Head of Performance and Analytics for Quality and Operations,Hitachi Energy,NA,"
Continue to enhance data accuracy, integrity and report outcomes.
Lead evaluation of emerging technologies to reduce complexity, improve transparency and…
",3.6,Data+Scientist
2727,"Bengaluru, Karnataka","Data Scientist, Data & Analytics",Thomson Reuters,NA,"
Knowledge of advanced statistical modelling, testing, data mining, and data science techniques.
Experience with Tableau and other data visualization tools would…
",3.9,Data+Scientist
2728,"Bengaluru, Karnataka",Data Scientist – Senior Consultant,Deloitte,NA,"
Strong experience in developing data structures, complex data architectures, a variety of theory and techniques in machine learning, data mining and big data.
",4.0,Data+Scientist
2729,"Bengaluru, Karnataka",Data Scientist II- Time Prediction View Jobs,Swiggy,NA,"
Experience in mentoring a small team of data scientists preferably in a startup or tech company.
We are a group of data scientists, operations research…
",3.9,Data+Scientist
2730,"Bengaluru, Karnataka","Applied Scientist II, Amazon Go",ADCI - Karnataka,NA,"
As a computer vision scientist, you will help solve a variety of technical challenges and mentor other engineers.
",3.5,Data+Scientist
2731,"Mumbai, Maharashtra",Technical Lead - Machine Learning,IDfy,NA,"
You are a seasoned machine learning engineer (or data scientist).
Work on all aspects of a production machine learning platform: acquiring data, training and…
",4.3,Data+Scientist
2732,"Pune, Maharashtra",Senior Data Scientist - Consultant,TransUnion,NA,"
We are looking to hire data scientists who would be part of Datalab team to support all internal analytics requirements and assist with research and development…
",3.8,Data+Scientist
2733,"Bengaluru, Karnataka",Director Product Management – Data Platform and Analytics,Algonomy,NA,"
Drive product vision and execution for our data platform and analytics, including both real-time and historical analytics across all product areas, data…
",NA,Data+Scientist
2734,Goa,Site QA Leader,Procter & Gamble,NA,"
To unlock business building insights in our mountains of data.
Executing research and analytics, including data source identification, processing, model…
",4.1,Data+Scientist
2735,"Gurgaon, Haryana","Senior Consultant - Machine learning , Actuarial",Optum,NA,"
Experience building robust data pipelines using a variety of data sources, programming languages, and toolsets.
",3.4,Data+Scientist
2736,"Bengaluru, Karnataka",Lead Data Analyst - Risk Analytics,GO-JEK,NA,"
Data querying, data modeling, data transformations, data visualization,.
We use big data with human intelligence to make the best decision.
",NA,Data+Scientist
2737,"Pune, Maharashtra",Sr NLP & Text Mining Data Scientist,Evolent Health,NA,"
Perform analysis of provider and claims data sets.
Create credentialing and provider data management auditing tools and collateral to support delivery of…
",3.1,Data+Scientist
2738,"Hyderabad, Telangana+1 location",Applied Scientist II,Amazon Dev Center India - Hyd,NA,"
Masters in Computer Science, Mathematics, Statistics, or other quantitative field with exposure to statistical modeling and machine learning.
",3.5,Data+Scientist
2739,"Bengaluru, Karnataka",Principal Data scientist,Bosch Group,NA,"
Convert the system requirements to software/model requirements for DL model , meaning you will understand overall data collection strategy of the project to…
",4.1,Data+Scientist
2740,"Indore, Madhya Pradesh",Data Scientist,GenieTalk,NA,"
Proficiency in Python data science tools.
Extending company’s data with third party sources of information when needed.
",2.5,Data+Scientist
2741,"Mumbai, Maharashtra",Senior Executive - Data Scientist,The Walt Disney Company (Corporate),NA,"
Candidates should have an inherent passion for data and data driven thinking and be adept at extracting patterns from volumes of data to drive strategy and…
",4.1,Data+Scientist
2742,Remote in India,AI Data Engineer with Scala,Lingaro Group,NA,"
Experience in designing and implementing data pipeline.
Big data technologies: Spark, Azure Databricks.
Design, delivery and management of industrialized data…
",NA,Data+Scientist
2743,"Chennai, Tamil Nadu",Data Analytics Specialist (Internal Audit),DTCC,NA,"
Develop routine data validation checks to increase accuracy and integrity of data and output produced.
Use data analysis methods and technologies to automate…
",3.7,Data+Scientist
2744,"Bengaluru, Karnataka",Data Science Analyst,Perfect Day,NA,"
Build data science tools/ infrastructure for data extraction and data integration from different R&D processes, construct analytical and data visualization and…
",NA,Data+Scientist
2745,"Remote in Sholinganallur, Chennai, Tamil Nadu","Sr. Scientist / Sr. Associate - Data Visualization, Manufact...",Pfizer,NA,"
Perform data engineering and data warehousing operations to create data pipeline for analytics solution development.
",4.2,Data+Scientist
2746,"Delhi, Delhi",Sr.Data Scientist,Innefu Labs Pvt. Ltd.,NA,"
Must be able to handle deployment complexities like big data management, model integration to existing environment.
Minimum 2+ Yrs. of experience in NLP.
",3.5,Data+Scientist
2747,India,Data Scientist,Agnik,NA,"
AGNIK is hiring a Data Science Intern with some background in the following areas and strong motivation.
Some Experience in Programming in C++/Java/Distributed…
",4.3,Data+Scientist
2748,"Pune, Maharashtra",Associate Data Scientist,Innoplexus,NA,"
Develop solutions for realworld noisy data, large-scale problems.
Analyse and extract relevant information from large amounts of data to help in automating the…
",4.4,Data+Scientist
2749,"Bengaluru, Karnataka",newDeep Learning Deployment Engineer (Cloud),Conxai Technologies GmbH,"₹20,00,000 - ₹28,00,000 a year","
We are building the first NO-CODE AI PLATFORM for the AEC industry, with the 3rd generation Explainable AI, that allows users to create complex use cases with…
",NA,Data+Scientist
2750,"Remote in Hyderabad, Telangana+1 location",newNLP Developer,PokerStars,NA,"
The NLP Developer role is part of the International Automation Function within our Customer & Product org, created to deliver a consistent and transformational…
",NA,Data+Scientist
2751,"Bengaluru, Karnataka",Junior Data Scientist,Newton School,NA,"
Take ownership of building data modelling pipelines for scalable and continuous systems.
Working knowledge of Data pipeline and data-science model deployment …
",NA,Data+Scientist
2752,"Hyderabad, Telangana",Data Engineer,Advance Auto Parts,NA,"
As a Data Scientist II at Advance Auto Parts, you will be responsible for working side by side with a team of capable data scientists with a goal of leveraging…
",3.4,Data+Scientist
2753,"Bengaluru, Karnataka",Data Science-Analyst/Consultant-A&C,Deloitte,NA,"
Implement large-scale data ecosystems including data management, governance and the integration of structured and unstructured data to generate insights…
",4.0,Data+Scientist
2754,"Bengaluru, Karnataka",newSenior Manager - Marketing & User Data analytics,Philips,NA,"
Ability to optimise performance of run time for different solutions on the data infrastructure.
As part of MDA, this position will be responsible for Building…
",4.0,Data+Scientist
2755,"Hyderabad, Telangana",Machine Learning Engineer,DeepEdge,NA,"
Machine Learning engineers with 1-3 years of industry experience.
",NA,Data+Scientist
2756,"Mumbai, Maharashtra",Senior Data Scientist,Crimson AI,NA,"
Experience of handling various data types and structures—structured and unstructured data—validating and cleaning data, and measuring evaluation.
",NA,Data+Scientist
2757,"Bengaluru, Karnataka",NLP Data Scientist,HEAPS Health,NA,"
Proficiency in handling unstructured and semi-structured data.
Perform relevant data analysis and benchmark the NLP solutions to improve our offerings.
",NA,Data+Scientist
2758,"Mumbai, Maharashtra",Mid Level Data Scientist,Everestek,NA,"
Extending data from multiple sources of information when needed.
Enhancing data collection procedures to include information that is relevant for building…
",NA,Data+Scientist
2759,"Hyderabad, Telangana","Machine Learning Engineer, GSI",Salesforce,NA,"
Develop skills to integrate forward into a data scientist role and contribute to product innovation.
Work with data scientists, data analysts to design best…
",4.3,Data+Scientist
2760,"Remote in Delhi, Delhi",Machine Learning Engineer,Insta Admission Private Limited,"₹15,000 a month","
Understanding of data structures, data modeling and software architecture.
Study and transform data science prototypes.
Total work: 1 year (Preferred).
",NA,Data+Scientist
2761,"Mumbai, Maharashtra",Machine Learning Engineer,Quantiphi,NA,"
Working closely with business and data team to ensure smooth delivery.
Working closely with business and data team to ensure smooth delivery.
",2.0,Data+Scientist
2762,"Bengaluru, Karnataka",Sr Data Scientist - Uber for Business,Uber,NA,"
Identifying new opportunities and shaping the product roadmap through data insights.
Strong problem solving skills and ability to translate ambiguous,…
",3.7,Data+Scientist
2763,"Gurgaon, Haryana",Data Scientist,MobiKwik,NA,"
Scientist, you will be able to work with large data set generated by millions of MobiKwik users.
Extensive experience with data manipulation and analysis using…
",3.9,Data+Scientist
2764,"Bengaluru, Karnataka",Director - Sales Analytics,Innovacer,NA,"
Experience with data modeling, machine learning algorithms, and data science techniques.
Experience in effectively working with stakeholders in sales and other…
",NA,Data+Scientist
2765,"Navi Mumbai, Maharashtra",Program Manager (Data Science & Analytics),Testbook,NA,"
Lead a team of Course Designers, Teachers and Subject Matter Experts.
Design and Build SOPs and Processes for various initiatives to improvise the learning…
",4.3,Data+Scientist
2766,"Bengaluru, Karnataka","Data Science Analyst, Data Operations",Cisco Systems,NA,"
Interpret large raw data sets; conduct data analysis and audits.
Use reporting tools, download data, and analyze data.
",4.1,Data+Scientist
2767,"Hyderabad, Telangana",Data Scientist & Business Development,Grid Logic Software Private Limited,NA,"
Proven experience as a data scientist or data analyst.
You will continuously drive data culture and evangelize use of data science in all possible aspects of…
",NA,Data+Scientist
2768,"Pune, Maharashtra",Senior Software Engineer - Deep Learning,NVIDIA,NA,"
Collaborate with various teams to drive an end to end workflow from data curation and training to performance optimization and deployment.
",4.2,Data+Scientist
2769,"Temporarily Remote in Bengaluru, Karnataka",AI Software Engineer/Architect – Studio AI,Wind River,NA,"
Real-time analytics: receiving and analyzing streaming data from distributed devices or applications (not just processing data at rest).
",NA,Data+Scientist
2770,"Bengaluru, Karnataka",Machine Learning Engineer,HP,NA,"
Experience in solving data science problems using machine learning, data mining algorithms and big data tools.
Run machine learning tests and experiments.
",4.0,Data+Scientist
2771,"Bengaluru, Karnataka",Lead Data Scientist,Blinkit,NA,"
Experience with big data tools like Spark, Hadoop is a plus.
Collaborate with various stakeholders to identify complex business problems and break them down…
",NA,Data+Scientist
2772,"Delhi, Delhi+1 location",CCO Data Analytics Lead,Barclays,NA,"
Mentor and train junior team members and CCO data specialists in basic and advanced data science and analytics techniques.
",3.9,Data+Scientist
2773,"Bengaluru, Karnataka",Customer Segmentation Analytics Associate,"JPMorgan Chase Bank, N.A.",NA,"
Become a trusted partner and thought leader on customer data and data science & analytics techniques.
Build expertise on customer data from all Chase lines of…
",3.8,Data+Scientist
2774,"Chennai, Tamil Nadu",Principal Architect Big Data,BigTapp,NA,"
Performs the data analysis activities to capture data requirements clearly, completely and correctly, and represent them in a formal and visual way through the…
",NA,Data+Scientist
2775,"Bengaluru, Karnataka",Head of Performance and Analytics for Quality and Operations,Hitachi Energy,NA,"
Continue to enhance data accuracy, integrity and report outcomes.
Lead evaluation of emerging technologies to reduce complexity, improve transparency and…
",3.6,Data+Scientist
2776,"Bengaluru, Karnataka","Data Scientist, Data & Analytics",Thomson Reuters,NA,"
Knowledge of advanced statistical modelling, testing, data mining, and data science techniques.
Experience with Tableau and other data visualization tools would…
",3.9,Data+Scientist
2777,"Bengaluru, Karnataka",Data Scientist – Senior Consultant,Deloitte,NA,"
Strong experience in developing data structures, complex data architectures, a variety of theory and techniques in machine learning, data mining and big data.
",4.0,Data+Scientist
2778,"Bengaluru, Karnataka",Data Scientist II- Time Prediction View Jobs,Swiggy,NA,"
Experience in mentoring a small team of data scientists preferably in a startup or tech company.
We are a group of data scientists, operations research…
",3.9,Data+Scientist
2779,"Bengaluru, Karnataka","Applied Scientist II, Amazon Go",ADCI - Karnataka,NA,"
As a computer vision scientist, you will help solve a variety of technical challenges and mentor other engineers.
",3.5,Data+Scientist
2780,"Mumbai, Maharashtra",Technical Lead - Machine Learning,IDfy,NA,"
You are a seasoned machine learning engineer (or data scientist).
Work on all aspects of a production machine learning platform: acquiring data, training and…
",4.3,Data+Scientist
2781,"Pune, Maharashtra",Senior Data Scientist - Consultant,TransUnion,NA,"
We are looking to hire data scientists who would be part of Datalab team to support all internal analytics requirements and assist with research and development…
",3.8,Data+Scientist
2782,"Bengaluru, Karnataka",Director Product Management – Data Platform and Analytics,Algonomy,NA,"
Drive product vision and execution for our data platform and analytics, including both real-time and historical analytics across all product areas, data…
",NA,Data+Scientist
2783,Goa,Site QA Leader,Procter & Gamble,NA,"
To unlock business building insights in our mountains of data.
Executing research and analytics, including data source identification, processing, model…
",4.1,Data+Scientist
2784,"Gurgaon, Haryana","Senior Consultant - Machine learning , Actuarial",Optum,NA,"
Experience building robust data pipelines using a variety of data sources, programming languages, and toolsets.
",3.4,Data+Scientist
2785,"Bengaluru, Karnataka",Lead Data Analyst - Risk Analytics,GO-JEK,NA,"
Data querying, data modeling, data transformations, data visualization,.
We use big data with human intelligence to make the best decision.
",NA,Data+Scientist
2786,"Pune, Maharashtra",Sr NLP & Text Mining Data Scientist,Evolent Health,NA,"
Perform analysis of provider and claims data sets.
Create credentialing and provider data management auditing tools and collateral to support delivery of…
",3.1,Data+Scientist
2787,"Hyderabad, Telangana+1 location",Applied Scientist II,Amazon Dev Center India - Hyd,NA,"
Masters in Computer Science, Mathematics, Statistics, or other quantitative field with exposure to statistical modeling and machine learning.
",3.5,Data+Scientist
2788,"Bengaluru, Karnataka",Principal Data scientist,Bosch Group,NA,"
Convert the system requirements to software/model requirements for DL model , meaning you will understand overall data collection strategy of the project to…
",4.1,Data+Scientist
2789,"Indore, Madhya Pradesh",Data Scientist,GenieTalk,NA,"
Proficiency in Python data science tools.
Extending company’s data with third party sources of information when needed.
",2.5,Data+Scientist
2790,"Mumbai, Maharashtra",Senior Executive - Data Scientist,The Walt Disney Company (Corporate),NA,"
Candidates should have an inherent passion for data and data driven thinking and be adept at extracting patterns from volumes of data to drive strategy and…
",4.1,Data+Scientist
2791,Remote in India,AI Data Engineer with Scala,Lingaro Group,NA,"
Experience in designing and implementing data pipeline.
Big data technologies: Spark, Azure Databricks.
Design, delivery and management of industrialized data…
",NA,Data+Scientist
2792,"Chennai, Tamil Nadu",Data Analytics Specialist (Internal Audit),DTCC,NA,"
Develop routine data validation checks to increase accuracy and integrity of data and output produced.
Use data analysis methods and technologies to automate…
",3.7,Data+Scientist
2793,"Bengaluru, Karnataka",Data Science Analyst,Perfect Day,NA,"
Build data science tools/ infrastructure for data extraction and data integration from different R&D processes, construct analytical and data visualization and…
",NA,Data+Scientist
2794,"Remote in Sholinganallur, Chennai, Tamil Nadu","Sr. Scientist / Sr. Associate - Data Visualization, Manufact...",Pfizer,NA,"
Perform data engineering and data warehousing operations to create data pipeline for analytics solution development.
",4.2,Data+Scientist
2795,"Delhi, Delhi",Sr.Data Scientist,Innefu Labs Pvt. Ltd.,NA,"
Must be able to handle deployment complexities like big data management, model integration to existing environment.
Minimum 2+ Yrs. of experience in NLP.
",3.5,Data+Scientist
2796,India,Data Scientist,Agnik,NA,"
AGNIK is hiring a Data Science Intern with some background in the following areas and strong motivation.
Some Experience in Programming in C++/Java/Distributed…
",4.3,Data+Scientist
2797,"Pune, Maharashtra",Associate Data Scientist,Innoplexus,NA,"
Develop solutions for realworld noisy data, large-scale problems.
Analyse and extract relevant information from large amounts of data to help in automating the…
",4.4,Data+Scientist
