,location,title,company,salary,summary,rating,clean_location,clean_title
391,"Pune, Maharashtra",newSenior Data Scientist,Michelin,,"
Builds mathematics, statistics or specialized software tools to extract and analyze data and designs datamarts and even data warehouses (data warehouses).
",4.0,"Pune, Maharashtra",Senior Data Scientist
392,"Mumbai, Maharashtra",Data Scientist,Contentstack,,"
Analyze raw data, create and maintain optimal data pipeline architecture to improve data reliability and quality.
Find hidden patterns using data.
",,"Mumbai, Maharashtra",Data Scientist
393,"Bengaluru, Karnataka+1 location",KYC Associate,Deutsche Bank,,"
As a Data Scientist, your experience and expertise will be key in building and refining optimal data sourcing processes, maintaining a data provisioning service…
",3.8,"Bengaluru, Karnataka",KYC Associate
394,"Noida, Uttar Pradesh",newAI/ML/DL/ Computer vision Developer / Engineer,Cyient,,"
Data Ingestion, processing of structured and unstructured data in big data ecosystem – Hadoop, Spark and Spark Streaming.
",3.5,"Noida, Uttar Pradesh",AIMLDL Computer vision Developer  Engineer
395,"Pune, Maharashtra","newProduct Control Analytics, DRW2, ENO",Credit Suisse,,"
Our primary responsibility is to ensure complete, accurate and timely reporting of the Firm’s P&L, Balance Sheet along with detailed Analysis.
",3.9,"Pune, Maharashtra",Product Control Analytics DRW2 ENO
396,"Bengaluru, Karnataka",Principal Data Scientist – Optimization,GE Digital,,"
As a Principal Data Scientist, you will guide, lead, or otherwise contribute to data science or cross-disciplinary team on commercially facing development…
",3.3,"Bengaluru, Karnataka",Principal Data Scientist – Optimization
397,"Hyderabad, Telangana",Data Scientist & Business Development,Gridlogic,,"
Proven experience as a data scientist or data analyst.
You will continuously drive data culture and evangelize use of data science in all possible aspects of…
",,"Hyderabad, Telangana",Data Scientist & Business Development
398,"Chennai, Tamil Nadu",ML Engineer,Applied Data Finance,,"
Collaborating with data engineers to build high quality data and features pipeline.
Extensive knowledge of ML frameworks/libraries (like scikit-learn,keras,…),…
",,"Chennai, Tamil Nadu",ML Engineer
399,"Mumbai, Maharashtra",Portfolio Risk Data Scientist,Deutsche Bank,,"
Collaborate closely with the infrastructure team to effectively organize our data and build data extraction and analysis pipelines.
Best in class leave policy.
",3.8,"Mumbai, Maharashtra",Portfolio Risk Data Scientist
400,"Bengaluru, Karnataka",Lead Data Scientist,Zynga,,"
Mentor and guide younger analysts and data scientists on subject matter, project solutioning, and best practices relevant to the wider industry.
",3.8,"Bengaluru, Karnataka",Lead Data Scientist
401,"Bengaluru, Karnataka",Senior Business Analyst - Data Sciences and Advanced Analyti...,VMware,,"
If you enjoy converting raw data into actionable insights using data science and enabling that as a data product, you will feel right at home.
",4.1,"Bengaluru, Karnataka",Senior Business Analyst Data Sciences Advanced Analyti
402,"Bengaluru, Karnataka",Data Scientist,BDB,,"
3+ years of experience in using statistical and data mining techniques to solve real business problems.
Analyze data sets to summarize, identify trends, predict…
",,"Bengaluru, Karnataka",Data Scientist
403,"Bengaluru, Karnataka+2 locations",Data Scientist,Tredence,,"
Have the ability to handle structured /unstructured data and have prior experience in loading, validating and cleaning various types of data.
",3.9,"Bengaluru, Karnataka",Data Scientist
404,"Mumbai, Maharashtra",Data Scientist-Client Engineering,IBM,,"
Familiar with Data Engineering techniques to gather, prepare, cleanse and transforms client data for analysis and AI Automation, including Automating data…
",3.9,"Mumbai, Maharashtra",Data ScientistClient Engineering
405,"Gurgaon, Haryana",ML Engineer,CarDekho,,"
Experience with big data technologies such as Spark/PySpark and data lakes is a plus.
Our work spans the following areas of machine learning: computer vision,…
",3.6,"Gurgaon, Haryana",ML Engineer
406,"Gurgaon, Haryana",newData Scientist,TATA 1MG,,"
Working experience with healthcare data, Airflow to set up data pipelines, and/or FastAPI/Flask for building APIs will be a plus.
",,"Gurgaon, Haryana",Data Scientist
407,"Hyderabad, Telangana",Lead Data Scientist,Providence Global Center,,"
Understand the business reality and discover actionable insights from large volumes of data.
Creating forecasting and machine learning models and enabling…
",,"Hyderabad, Telangana",Lead Data Scientist
408,"Pune, Maharashtra",Data Scientist,Merkle,,"
Extract and process large quantities of data from data warehouses and other data marts in support of assignments.
2 - 5 years of industry experience required.
",,"Pune, Maharashtra",Data Scientist
409,"Pune, Maharashtra",Senior Data Scientist- Process Analytics Group,Tridiagonal Solutions,,"
Effective mining of data and analysis of data to build performance model and decision support frameworks such as predictive analytics.
",,"Pune, Maharashtra",Senior Data Scientist Process Analytics Group
410,"Bengaluru, Karnataka","Applied Scientist, Amazon One - Bangalore (India)",ADCI - Karnataka,,"
MS or PhD required in computer vision, machine learning, or related discipline.
Publications in top-tier peer-reviewed conferences or journals.
",3.5,"Bengaluru, Karnataka",Applied Scientist Amazon One Bangalore India
411,"Chandigarh, Chandigarh",Associate Data Scientist,XenonStack,,"
Enhancing data collection procedures to include information that is relevant for building analytic systems.
Extending company’s data with third-party sources of…
",2.0,"Chandigarh, Chandigarh",Associate Data Scientist
412,"Bengaluru, Karnataka",NLP (Natural Language Processing) Engineer,Griffon Technology: A Placement Partner,,"
Improve existing data models, data pipelines, featurization and implementing new techniques for our ML platform.
Transformer architectures - BERT, GPT2/3.
",,"Bengaluru, Karnataka",NLP Natural Language Processing Engineer
413,"Pune, Maharashtra",Senior Data Scientist,Savantys Solutions,,"
Description: • 3+ years of experience using analytical tools/languages like Python & R on large scale data • Strong conceptual understanding of analytics…
",,"Pune, Maharashtra",Senior Data Scientist
414,"Hybrid remote in Bengaluru, Karnataka",Machine Learning Engineer,Intel,,"
IT is also responsible for e-Commerce development, data hosting and delivery of Web content and services.
This includes the LAN, WAN, telephony, data centers,…
",4.1,"Bengaluru, Karnataka",Machine Learning Engineer
415,"Bengaluru, Karnataka",Data Scientist - WFM,ADCI - BLR 14 SEZ,,"
5+ years of overall experience in data science.
Experience digesting big data and creating automated workflows and web-based tools.
",3.5,"Bengaluru, Karnataka",Data Scientist WFM
416,India,Lead Data Scientist,Cygnet Infotech,,"
Supervising the data acquisition process if more data is needed.
Verifying data quality, and/or ensuring it via data cleaning.
",4.0,,Lead Data Scientist
417,"New Delhi, Delhi",Consultant – Analytics (DER),ICF,,"
Experience with data science, and machine learning in Python or R.
As part of your role, you will have an opportunity to apply your academic knowledge and prior…
",3.4,"New Delhi, Delhi",Consultant – Analytics DER
418,"Mumbai, Maharashtra",Restructuring Analyst - 5224,ION,,"
Experience working on analytical reports/data projects.
Develop expertise in data-related issues and/or reports.
Good problem solving and analytics skills.
",3.9,"Mumbai, Maharashtra",Restructuring Analyst 5224
419,"Indore, Madhya Pradesh",DATA SCIENTISTS- (4 positions ),Indira,,"
#Strong experience in mathematical and statistical analyses, machine learning, statistical modeling, and data visualization.
",3.4,"Indore, Madhya Pradesh",DATA SCIENTISTS 4 positions 
420,India,Sr. Data Scientist,WebMatrix,,"
Work Experience: 8+ Years of experience.
Experience in R, Python, SQ, using business intelligence tools, Data Mining.
",,,Sr. Data Scientist
421,"Bengaluru, Karnataka","newSenior Associate, Data Science",Bain & Company,,"
Demonstrable experience in exploratory data analysis (including proficiency in handling imperfections in data).
",4.3,"Bengaluru, Karnataka",Senior Associate Data Science
422,"Pune, Maharashtra+3 locations",Machine Learning Engineer,Mobile Programming LLC,"₹6,00,000 - ₹14,00,000 a year","
Programming data analysis using libraries like pandas , numpy , matplotib.*.
Minimum 5+ year's of experience required.*.
Total work: 5 years (Preferred).
",,"Pune, Maharashtra",Machine Learning Engineer
423,"Hyderabad, Telangana+1 location",Senior Data and Applied Scientist,Microsoft,,"
In short, we thrive on data to solve high impact business problems for Windows!
Excellent oral and written communication skills and ability to ""tell compelling…
",4.2,"Hyderabad, Telangana",Senior Data Applied Scientist
424,India,Senior Data Scientist,Aretove,,"
Develop visualization/ presentations to clearly articulate and present data insights to various stakeholders.
Processing, cleansing, and verifying the integrity…
",,,Senior Data Scientist
425,"Hybrid remote in Noida, Uttar Pradesh",Data Scientist,BBS,,"
Analyse raw data, assessing quality, cleansing, structuring for downstream processing.
You will be a part of a fast-paced, team environment where you will be…
",,"Noida, Uttar Pradesh",Data Scientist
426,"HSR Layout, Bengaluru, Karnataka",newData Science Teaching Assistant,KnowledgeHut,,"
We are looking for a Data Science Teaching Assistant with experience in analyzing, proofreading, and creating training content.
Basic MS Excel and Statistics.
",3.4,"HSR Layout, Bengaluru, Karnataka",Data Science Teaching Assistant
427,"Chennai, Tamil Nadu",Deep Learning Specialist,Standard Chartered,,"
The candidate will be responsible for building End to End Python Django application framework per different groups of functionalities (micro-services) within…
",4.1,"Chennai, Tamil Nadu",Deep Learning Specialist
428,"Coimbatore, Tamil Nadu",newPython Data Science Corporate Trainer,iamneo.ai,,"
Technical Expertise Required: Data Science with Python and with Product Development Experience.
Bachelors in computer science or equivalent education covering…
",,"Coimbatore, Tamil Nadu",Python Data Science Corporate Trainer
429,"Hyderabad, Telangana",Applied Data Scientist,Microsoft,,"
As a data enthusiast explore and source a wide variety of data.
Ability to leverage APIs, and other relevant data science & data analytical tools such as Azure…
",4.2,"Hyderabad, Telangana",Applied Data Scientist
430,"Hyderabad, Telangana",AI/ML Analyst,Qurium Solutions Inc,,"
Understand data structures, data modeling and software architecture.
Picking appropriate data representation methods.
Position reports to Manager - Data.
",,"Hyderabad, Telangana",AIML Analyst
431,"Mumbai, Maharashtra",Data Scientist - Recommender Systems,Tickled Media,,"
Good data manipulation skills including cleaning and managing data.
Hands on development and deployment of the recommender system (other data scientists and…
",,"Mumbai, Maharashtra",Data Scientist Recommender Systems
432,"Bengaluru, Karnataka",Sr. Data Scientist,Silicon Valley Bank,,"
Responsible for exploring relevant data sources, generating business understanding of the data, and developing the logic to transform the data into insights…
",3.8,"Bengaluru, Karnataka",Sr. Data Scientist
433,"Chennai, Tamil Nadu",Lead Data Scientist,BigTapp,,"
Lead & mentor the data analysts and data scientists to achieve business goals of BigTapp and its customers.
Deployed data science solutions with proven business…
",,"Chennai, Tamil Nadu",Lead Data Scientist
434,"Bengaluru, Karnataka",Data Scientist,ExxonMobil,,"
Demonstrated ability to solve challenging data science problems by applying or adapting existing computational methods is required.
",3.9,"Bengaluru, Karnataka",Data Scientist
435,"Gurgaon, Haryana",newSpecialist Machine Learning Operations,Rio Tinto,,"
Supporting data science and data engineering teams with cloud automation solutions.
We also support RStudio for our resident data scientists across the group.
",3.9,"Gurgaon, Haryana",Specialist Machine Learning Operations
436,"Pune, Maharashtra",Data Scientist,Data Axle,,"
We are looking for experienced data science, machine learning and MLOps practitioners to design, build and deploy impactful data products that serve a wide…
",,"Pune, Maharashtra",Data Scientist
437,"Remote in Bengaluru, Karnataka",Lead Decision Scientist,sharechat,,"
Identify valuable data sources and automate collection processes.
Undertake pre-processing of structured and unstructured data.
",4.5,"Bengaluru, Karnataka",Lead Decision Scientist
438,"Navi Mumbai, Maharashtra",Data Scientist,Testbook,,"
Preparing and managing test data.
You train under the best mentors and become an expert in your field in your own right.
Creation of test plans and test cases.
",4.3,"Navi Mumbai, Maharashtra",Data Scientist
439,"Remote in Mumbai, Maharashtra",Machine Learning Engineer,Samespace,,"
Verifying data quality, and/or ensuring it via data cleaning.
Explore and visualize data to gain an understanding, and then identify differences in data…
",,"Mumbai, Maharashtra",Machine Learning Engineer
440,"Kochi, Kerala",AI & ML Engineer,Stanra Tech Solutions,,"
6+ years of experience in AI, Machine learning and Data Science.
Experience in using AI and ML services from the GCP and AWS.
",,"Kochi, Kerala",AI & ML Engineer
441,Remote in India,newData & AI Counsel - Specialist,Accenture,,"
Knowledge of data governance, data management principles, strategies and frameworks;
Relevant certifications (such as in data privacy, data governance, audit,…
",4.0,,Data & AI Counsel Specialist
442,"Bengaluru, Karnataka",Senior data scientist,Compile,,"
Help build intelligent systems to cleanse and record-link healthcare data from over 200 sources.
Worked with NN and ML algorithms, solved problems using panel…
",,"Bengaluru, Karnataka",Senior data scientist
443,"Kochi, Kerala",Machine Learning Engineers,Inavan India Technologies,,"
Looking forexperienced people specifically in the field of computer vision, image processing & ML/DL architectures and algorithms.
",,"Kochi, Kerala",Machine Learning Engineers
444,"Pune, Maharashtra",Data Scientist & ML Engineer Lead,Aligned Automation,,"
Aligned Automation is looking for a data scientist to help drive actionable insights using artificial intelligence and machine learning algorithms.
",,"Pune, Maharashtra",Data Scientist & ML Engineer Lead
445,Remote in India,Principal Data Scientist - CTO Office - Remote,Icertis,,"
Define the variables and their inter-relationships and extract the data from our data repositories,leveraging infrastructure including Cloud computing solutions…
",3.8,,Principal Data Scientist CTO Office Remote
446,"Bengaluru, Karnataka","newMachine Learning Engineer AI, Advanced Analytics & Data",H&M Group,,"
You have a solid understanding of data structures, databases, and data storage technologies applicable particularly to data intensive applications.
",,"Bengaluru, Karnataka",Machine Learning Engineer AI Advanced Analytics & Data
447,"Bengaluru, Karnataka","Data Scientist, Customer DNA",Rakuten,,"
Familiarity with using data visualization tools.
Previous experience, preferably in product company, in a ML or data scientist role and a track record of…
",,"Bengaluru, Karnataka",Data Scientist Customer DNA
448,India,Data Scientist Manager,Oracle,,"
Oracle Advertising products are made possible because of extensive data sets, high engineering standards, and sophisticated data science.
",3.8,,Data Scientist Manager
449,"Bengaluru, Karnataka",Director - Data Science,Myntra.com,,"
Strong expertise in Data Science, Machine Learning and Analytics, backed by demonstrable experience of building data-driven solutions for solving complex…
",4.2,"Bengaluru, Karnataka",Director Data Science
450,"Remote in Gurgaon, Haryana",Data Scientists,Think Future Technologies,,"
Working experience in Data Science project life cycles from use case framing, data collection, data exploration, model building, deployment etc.
",4.2,"Gurgaon, Haryana",Data Scientists
451,"Bengaluru, Karnataka",Data Scientist 4/ Lead Data Scientist,Meesho,,"
From improving our product usability to identifying new growth opportunities data scientists help all teams within Meesho develop effective solutions.
",3.6,"Bengaluru, Karnataka",Data Scientist 4 Lead Data Scientist
452,"Bengaluru, Karnataka",Business Analyst - Data Scientist,Genpact,Full-time,"
Analytical Skills – Researching and analysing the right data to make product decisions.
Inviting applications for the role of a BA, Data Science and Insights.
",3.8,"Bengaluru, Karnataka",Business Analyst Data Scientist
453,"Gurgaon, Haryana",Senior Data Scientist,Synaptic,Full-time,"
Develop ML/AI solutions to improve the data related internal processes like data ingestion, summarization, quality check etc. in terms of accuracy and…
",,"Gurgaon, Haryana",Senior Data Scientist
454,"Pune, Maharashtra",Sr NLP & Text Mining Data Scientist,Evolent Health,Full-time,"
Perform analysis of provider and claims data sets.
Create credentialing and provider data management auditing tools and collateral to support delivery of…
",3.1,"Pune, Maharashtra",Sr NLP & Text Mining Data Scientist
455,"Noida, Uttar Pradesh",Jr. Data Scientist,xtLytics,,"
Use strong business acumen, as well as an ability to communicate findings and mine vast amounts of data for useful insights.
",,"Noida, Uttar Pradesh",Jr. Data Scientist
456,"Remote in Bengaluru, Karnataka",Data Science (R&D),Bosch Group,Full-time,"
2-4 years of experience in commercial software development & data science for medium to large scale deployments.
O Strong knowledge in Data Structures.
",4.1,"Bengaluru, Karnataka",Data Science R&D
457,"Bengaluru, Karnataka",Assistant Manager - Data Science,Michael Page,"₹28,00,000 - ₹33,00,000 a year","
Wider Unilever analytics and data science professionals.
Contribute refinements to the plan through your own data science knowledge.
",3.5,"Bengaluru, Karnataka",Assistant Manager Data Science
458,"Gurgaon, Haryana",Data Science,Incedo,,"
Collaborate with data scientists and architects on several projects.
Analyze and organize raw data, conduct data analysis, and report results.
",3.8,"Gurgaon, Haryana",Data Science
459,"Mumbai, Maharashtra",newData Scientist,Array Management Consultants,Full-time,"
Knowledge of advanced statistical modelling, testing, data mining, and data science techniques.
Must have at least 2-5 years of experience working as data…
",,"Mumbai, Maharashtra",Data Scientist
460,"Hyderabad, Telangana",Lead ML Engineer,ATAI,Full-timeDay shift,"
∙ Design and development of end-to-end machine learning pipeline including data extraction, automated labeling, training of deep learning model and deployment*.
",,"Hyderabad, Telangana",Lead ML Engineer
461,"Bengaluru, Karnataka",Data Scientist,Molex,,"
3+ years experience in data-focused role such as product analytics, business intelligence or data science.
Prototype new methods to deliver additional insights…
",3.8,"Bengaluru, Karnataka",Data Scientist
462,"Chennai, Tamil Nadu",newBusinees Analytics and Reporting Specialist,NOKIA,,"
Identify gaps in data collection and support data collection improvements resulting in less manual work and up-to-date information.
",4.1,"Chennai, Tamil Nadu",Businees Analytics Reporting Specialist
463,"Bengaluru, Karnataka",Data Scientist,PhonePe,Full-time,"
Help and mentor junior members to become better data scientists.
We plan to expand our data science team, and we are looking for senior data scientists who will…
",4.3,"Bengaluru, Karnataka",Data Scientist
464,"Temporarily Remote in Pune, Maharashtra",Senior Data Scientist,Easebuzz,,"
Assess the effectiveness and accuracy of new data sources and data gathering techniques.
We are seeking experienced data scientists to deliver those insights to…
",,"Pune, Maharashtra",Senior Data Scientist
465,"Bengaluru, Karnataka",Head of Performance and Analytics for Quality and Operations,Hitachi Energy,Full-time,"
Continue to enhance data accuracy, integrity and report outcomes.
Lead evaluation of emerging technologies to reduce complexity, improve transparency and…
",3.6,"Bengaluru, Karnataka",Head Performance Analytics Quality Operations
466,"Remote in Hyderabad, Telangana+1 location",newNLP Developer,PokerStars,,"
The NLP Developer role is part of the International Automation Function within our Customer & Product org, created to deliver a consistent and transformational…
",,"Hyderabad, Telangana",NLP Developer
