,location,title,company,salary,summary,rating
0,"Bengaluru, Karnataka",Data Scientist,Applied Materials Inc.,"₹5,26,846 - ₹17,85,107 a year","
Acquire, cleanse, organize and mine massive volumes of data (sensor/system log) using custom scripts Learn, understand and apply customer data in statistical…
",3.9
1,"Bengaluru, Karnataka",Senior Data Scientist,CORESTRAT LABS PRIVATE LIMITED,"₹30,00,000 a year","
Collaborate to enhance data infrastructure and build a seamless research platform.
Deliver real impact to the product through rigorous data-driven solutions.
",
2,"Noida, Uttar Pradesh",Tech Mahindra hiring for Data Scientist - Noida,Tech Mahindra,"₹4,00,000 - ₹16,00,000 a year","
Data scientist: 3 years (Required).
Python, Machine learning, Deep Learning, Natural Language Processing (NLP), Predictive analytics, Due Diligence, Proof of…
",
3,"Bengaluru, Karnataka",newData Scientist,Happay,"₹8,00,000 - ₹12,00,000 a year","
1-2 Years as a data scientist, machine learning engineer, data analyst.
You must be highly comfortable with data manipulation and will be required to write data…
",
4,"Chennai, Tamil Nadu+1 location",newAssociate Data Scientist,Shell,,"
Gathers data, analyses and reports findings.
Gathers data using existing formats and will suggest changes to these formats.
",3.9
5,"Bengaluru, Karnataka",Data Scientist - SQL Queries,Talent500,,"
You execute deep & complex quantitative analyses that translate data into actionable insights.
As a Lead Business Analyst, you are expected to have a top-down…
",
6,"Chennai, Tamil Nadu",newClinical Data Scientist,Pfizer,,"
Ensure operational excellence in collaboration with partners for application of standards, data acquisition, proactive data review and data integrity monitoring…
",4.2
7,"Chennai, Tamil Nadu",Senior Data scientist,ZF,,"
Identify and propose data driven insights from automotive data which can help business to add value to ZF’s customers for existing products.
",3.9
8,"Bengaluru, Karnataka",Data Scientist,Great Learning,"₹10,00,000 a year","
Experience in using jupyter notebooks and Python to manipulate data and draw insights from large data sets.
Create unique learning experiences that enable Great…
",3.7
9,"Bengaluru, Karnataka",newData Scientist,ResultsCX,,"
Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Knowledge using statistical computer languages (R, Python, SQL, etc.)…
",
10,"Bengaluru, Karnataka+1 location",newData Scientist,Shell,,"
Passion for data with strong analytical mindset and focus on drilling data for commercial insight.
Must quickly mine data sources, analyze large datasets,…
",3.9
11,"Bengaluru, Karnataka",newClinical Data Management Scientist,Accenture,,"
You will be expected to manage & review data generated through manual or programmed listings including, but not limited to all external data sources and SAEs.
",4.0
12,"Gurgaon, Haryana",newJunior Data Scientist,momspresso,"₹10,00,000 - ₹20,00,000 a year","
Develop custom data models and algorithms to apply to data sets.
Technical expertise with data models, data mining, and segmentation techniques.
",
13,"Hyderabad, Telangana+1 location",newData & Applied Scientist,Microsoft,,"
Work closely with other data scientists and data engineers to deploy models that drive cloud infrastructure capacity planning.
",4.2
14,"Temporarily Remote in Bengaluru, Karnataka",newData Scientist,Visa,,"
Experience with extracting and aggregating data from large data sets using Presto, Hive or other tools.
Deep knowledge of data science models.
",3.9
15,"Mumbai, Maharashtra",newData Scientist,Zepto,,"
Basic SQL with ability to fetch, transform data tables.
Design and run data backed experiments to improve process efficiency and create systems to capture them.
",
16,"Bengaluru, Karnataka",DATA SCIENTIST DEMAND FORECASTING,Anzy Careers Private Limited,"₹13,00,000 - ₹24,00,000 a year","
3-6 years of experience independent projects outside coursework in time series forecasting, demand planning, pricing analytics, causality, promotions effect, AI…
",
17,"Chennai, Tamil Nadu",Data Scientist,"BSRI Solutions Pvt Ltd.,","₹8,00,000 - ₹15,00,000 a year","
Understands the requirements from project teams, processes appropriate data sets, generates insightful reports, develops appropriate wireframes/visualization…
",
18,"Pune, Maharashtra",newAssociate Data Scientist,NielsenIQ,,"
You’ve built a decent track record in research and data analytics.
In this role, you’ll have the chance to roll up your sleeves and apply data science methods…
",3.4
19,"Chennai, Tamil Nadu","newManager, Senior Clinical Data Scientist, Clinical Data Scien...",Pfizer,,"
Act as the key scientific and technical data management expert; may define and drive the data management strategy and standards for the Therapeutic Areas (TA)…
",4.2
20,Remote,newData Scientist,CoRover,,"
Present information using data visualization techniques.
Undertake to preprocess of structured and unstructured data.
Knowledge of R, SQL, and Python.
",
21,"Noida, Uttar Pradesh",newData Scientist,Audviklabs,"₹5,00,000 - ₹7,00,000 a year","
Closely work with engineers, product Managers, data scientists to translate customer requests into useful product functionality.
",
22,"Bengaluru, Karnataka",Data Scientist (Analyst),Scienaptic Systems,,"
Coming up with data driven solutions to control risk.
The Data Scientist role will enable you to be at the forefront of latest cutting-edge technology and…
",4.5
23,"Remote in Bengaluru, Karnataka",newData Scientist,Skoruz Technologies,,"
Job Types: Full-time, Regular / Permanent.
Machine learning: 1 year (Preferred).
",3.9
24,"Bengaluru, Karnataka",newData Scientist,Walmart Global Tech India,,"
Direct the gathering of data, assessing data validity and synthesizing data into large analytics datasets to support project goals.
",
25,"Gurgaon, Haryana",newData Scientist,Webhelp,,"
Advanced knowledge of statistical techniques, data mining, big data and machine learning.
Identifying relevant data sources in existing internal and external…
",2.9
26,"Chennai, Tamil Nadu+1 location",newData Science Analyst,Shell,,"
Passion for data with strong analytical mindset and focus on drilling data for commercial insight.
Need to identify relevant data sources available and pro…
",3.9
27,"Bengaluru, Karnataka","Data Scientist - Predictive Analysis, Time Series Forecastin...",Wipro Limited,,"
""As a Senior Consultant in one of the industry verticals, you are responsible for contribution to the functional design, architecture of the solution and…
",3.8
28,"Bengaluru, Karnataka+1 location",newData Scientist,Ericsson,,"
Acuity for business flow understanding and expertise in data preparation-data mining and pre-processing.
Translate operator business objectives into business…
",4.1
29,"Bengaluru, Karnataka+1 location",Data Scientist: Advanced Analytics,IBM,,"
5+ years of data engineering and data science experience.
Implement quantum approaches, which includes data pre-/post-processing, running numerics and…
",3.9
30,"Bengaluru, Karnataka",Data Scientist,GLOBAL TECHNOLOGIES,"₹5,26,028 - ₹17,81,955 a year","
Partner with other internal/external teams to facilitate development or implementation of identified analytics solutions, work closely with IT teams wherever…
",3.8
31,"Bengaluru, Karnataka",newData Scientist / Analyst,Deutsche Bank,,"
Intermediate to advanced knowledge in data science, big data tools and infrastructural components – Hadoop / PySpark / Jupyter.
Best in class leave policy.
",3.8
32,"Bengaluru, Karnataka",newData Scientist: Artificial Intelligence,IBM,,"
As a Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and…
",3.9
33,"Bengaluru, Karnataka",Data Scientist (Pricing Analytics),Anzy Careers Private Limited,"₹13,00,000 - ₹24,00,000 a year","
3+ independent projects outside coursework in Pricing analytics, causality, promotions effect, AI/ML.
Also, experience of applying these in the Retail space.
",
34,"Mumbai, Maharashtra",newData Scientist - Life and Health,Munich Re,,"
The role will be responsible for advising business on the potential of data, provide new insights into the business’ mission, and using advanced analytics, data…
",4.0
35,"Bengaluru, Karnataka",newData Scientist,NextNav,,"
Demonstrated experience in rapid prototyping and an excellent data analyst of a variety of atmospheric, geospatial and time series data.
",
36,Remote,newData Scientist,Foxberry Technology Pvt Ltd,,"
Assess the effectiveness of data sources and data-gathering techniques and improve data collection methods.
Exposure to multiple data science projects.
",
37,"Gurgaon, Haryana",newBattery Analytics Data Scientist,Siemens,,"
Knowledge of data wrangling, data cleaning and data visualization techniques.
Experience working with and creating data architectures.
",4.0
38,"Kalyan Nagar, Bengaluru, Karnataka",Data Scientist,Client of Infra-Tech Consultants,"₹10,00,000 - ₹12,00,000 a year","
Experience manipulating data to build features, perform analysis etc.
The role includes building models, data analysis and interpretation, and applying known…
",
39,"Gurgaon, Haryana",Data & Analytics Analyst,NatWest Group,,"
Good knowledge of data engineering, data science and decisioning disciplines.
Along with advanced analytics knowledge, you’ll bring an ability to simplify data…
",3.8
40,"Bengaluru, Karnataka",Data Scientist (Operation Research),Anzy Careers Private Limited,"₹13,00,000 - ₹24,00,000 a year","
2+ independent projects outside coursework in Optimization, Simulator Design and AI/ML.
Also, experience of applying optimization solvers in solving real-world…
",
41,"Bengaluru, Karnataka",newData Scientist,Bosch Group,,"
Experience: At least 2 years of experience of professional data science.
You will be able to explore the full world of our business data platform to generate…
",4.1
42,"Mumbai, Maharashtra",Manager - Financial Insights & Analytics (Data Scientist),Mahindra & Mahindra Ltd.,,Date: 05-May-2022 Location: Mumbai A.O Company: Mahindra & Mahindra Limited Responsibilities & Key Deliverables Experience Industry Preferred…,4.2
43,"Bengaluru, Karnataka",Data Scientist,Rolls-Royce,,"
Hands-on knowledge of data processing and visualization libraries for example pandas, matplotlib, seaborn etc.
",4.0
44,"Bengaluru, Karnataka",newData Scientist - OrgSolutions,McKinsey & Company,,"
You will analyze and evaluate a wide range of data including data from human resources information systems, business metrics, survey assessments and publicly…
",4.3
45,"Mumbai, Maharashtra",Data Scientist- Clinical Trial,Abbott Laboratories,,"
Apply scientific knowledge on data modeling, data analytics, predictive algorithms, and other data science principles to create concepts, develop prototypes,…
",4.0
46,"Bengaluru, Karnataka",newData Scientist,"JPMorgan Chase Bank, N.A.",,"
As a Business Process Analyst, you'll provide support on a variety of initiatives by analyzing existing processes, identifying process gaps, identifying areas…
",3.8
47,"Bengaluru, Karnataka",Data Scientist,Honeywell,,"
Your primary focus will be in applying data mining techniques, doing statistical analysis, and building quality prediction systems to improve data quality of…
",3.7
48,"Bengaluru, Karnataka+1 location",newDeep Learning Specialist (Data Scientist),Standard Chartered,,"
In line with our Fair Pay Charter, we offer a competitive salary and benefits to support your mental, physical, financial and social wellbeing.
",4.1
49,"Pune, Maharashtra",Data Scientist-Geospatial Analytics,NielsenIQ,,"
Perform relevant modeling/Geospatial analysis and POC exploring multiple techniques on data like satellite images (rasters) or mobility data.
",3.4
50,"Bengaluru, Karnataka","Big Data Engineer (Sr./Lead) (Hadoop, Spark)",Micron,,"
Work with the data scientist to implement strategies for cleaning and preparing data for analysis (e.g., outliers, missing data, etc.).
",3.7
51,India,Data Architect - HR Governance,Cargill,,"
You will develop standards for database design and implementation of various strategic data architecture initiatives around data management, data quality, and…
",3.8
52,"Mumbai, Maharashtra",newData Science Consultant,J.S. Held,,"
Work on developing and acquiring new client projects in the data analytics service line;
Experience with fraud analytics software or undertaking data analysis…
",
53,"Hyderabad, Telangana",Data Scientist,predera,,"
Taking responsibility for turning data into understanding by being active, educational, and supportive of every conversation about data.
",
54,"Gurgaon, Haryana",Senior Data Scientist,Ocrolus,,"
Excellent SQL skills, comfortable working with data warehouses.
Ocrolus transforms documents into digital data and analytics within minutes.
",
55,"Bengaluru, Karnataka",Customer Segmentation Analytics Associate,"JPMorgan Chase Bank, N.A.",,"
Become a trusted partner and thought leader on customer data and data science & analytics techniques.
Build expertise on customer data from all Chase lines of…
",3.8
56,"Bengaluru, Karnataka",Data Scientist,ITOrizon,,"
Develop custom data models and algorithms to apply to data sets.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.
",
57,"New Delhi, Delhi",DATA SCIENTIST,KnowDis,,"
KnowDis is looking for Data Science and Machine Learning experts with at least 2 years hands-on Python coding experience in a Machine Learning domain.
",
58,"Chennai, Tamil Nadu",NLP Engineer with RASA,Twixor,"₹3,00,000 - ₹10,00,000 a year","
You have to transform natural data into features useful to feed in classification algorithms.
The NLP engineer should be capable of processing natural language…
",
59,"Bengaluru, Karnataka",Lead Data Scientist,Zynga,,"
Mentor and guide younger analysts and data scientists on subject matter, project solutioning, and best practices relevant to the wider industry.
",3.8
60,"Chennai, Tamil Nadu",Principal Architect Big Data,BigTapp,,"
Performs the data analysis activities to capture data requirements clearly, completely and correctly, and represent them in a formal and visual way through the…
",
61,"Chennai, Tamil Nadu",Analytics Modeller,Ford Global Business Services,,"
Collaborate with Data Engineers for manipulating massive data sets and mash-up of data from multiple sources & formats.
",4.0
62,India,Sr. Data Scientist,WebMatrix,,"
Work Experience: 8+ Years of experience.
Experience in R, Python, SQ, using business intelligence tools, Data Mining.
",
63,"Hyderabad, Telangana",Business Analytics Leader,Apple,,"
Familiarity with database modeling and data warehousing principles.
Partner with other teams to outline business needs into data requirements.
",4.2
64,"Bengaluru, Karnataka",Data Scientist,PhonePe,,"
Help and mentor junior members to become better data scientists.
We plan to expand our data science team, and we are looking for senior data scientists who will…
",4.3
65,"Chandigarh, Chandigarh",Associate NLP Engineer,XenonStack,,"
Study and transform data science prototypes.
Tech with strong data structure and algorithm Skills.
Understanding of NLP techniques for text representation,…
",2.0
66,"Bengaluru, Karnataka",Assistant Manager - Data Science,Michael Page,"₹28,00,000 - ₹33,00,000 a year","
Wider Unilever analytics and data science professionals.
Contribute refinements to the plan through your own data science knowledge.
",3.5
67,"Pune, Maharashtra+1 location",newData Scientist,Deutsche Bank,,"
Data Processing & Integration: Process source data as per requirements e.g. anonymizing the data, writing & deploying the data integration processes to extract…
",3.8
68,"Chennai, Tamil Nadu",newCitiKYC Data Science App Dev Manager-Chennai-VP/ CTS-0128202...,Citi,,"
Provide evaluative judgment based on analysis of factual data in complicated and unique situations.
Lead Data science teams globally (India, Singapore, and US)…
",3.9
69,"Mumbai, Maharashtra",Principal Data Scientist,NSEIT,,"
Minimum 5-7 years of work experience as data scientist.
Minimum 5-7 years of experience working as data scientist (overall 14+ years).
",3.4
70,"Bellandur, Bengaluru, Karnataka",Senior Data Scientist,Airtel India,,"
Work on complex business problems related to underwriting and risk.
End to end development and testing of the solutions as per the requirements.
",4.1
71,"Hyderabad, Telangana",Lead - Data Scientist / Analytics,Sutherland,,"
Have ability to perform exploratory data analysis using visualizations to come up with initial insights.
Have ability to interpret data, identify trends, and…
",3.6
72,"Bengaluru, Karnataka","Applied Scientist, Amazon One - Bangalore (India)",ADCI - Karnataka,,"
MS or PhD required in computer vision, machine learning, or related discipline.
Publications in top-tier peer-reviewed conferences or journals.
",3.5
73,"Gurgaon, Haryana",Associate Analytics Director,Essence,,"
9+ years of industry experience in an insights and data-focused role.
Strong analytical skills - ability to analyze raw data, find insights, and provide…
",
74,"Hybrid remote in Gurgaon, Haryana","Analyst, Data Unification & Analytics, Cyber & Intelligence...",MasterCard,,"
Experience in hands-on data modeling, programming, querying, data mining and report development using large volumes of granular data to deliver business…
",4.0
75,"Bengaluru, Karnataka","Data Scientist, Amazon ML Solutions Lab",AISPL - Karnataka,,"
Strong communication and data presentation skills.
You will be working with terabytes of text, images, and other types of data to solve real-world problems.
",3.5
76,"Mumbai, Maharashtra","newData Scientist, Data Analytics, Web Analytics",TopGear Consultants,,"
Data to discover trends, patterns and insights.
Science, and Predictive Modelling, ML/AI Proficiency in statistical data analysis and modelling tools such as…
",
77,"Bengaluru, Karnataka",newDeep Learning Deployment Engineer (Edge AI),Conxai Technologies GmbH,"₹20,00,000 - ₹28,00,000 a year","
The technology will scale in public/private cloud across a rapidly increasing number of customers in multiple geographies, while processing and rendering large…
",
78,"Bengaluru, Karnataka",Senior Data Scientist,GSK,,"
Knowledge of the data landscape in healthcare (Anonymized Patient Longitudinal Data (APLD, LAAD) EHR, claims data, real world data, HEOR data).
",4.2
79,"Bengaluru, Karnataka",Data Scientist- IAP Fraud Detection,InMobi,,"
Comfortable with the big data ecosystem.
You will be responsible for leading the data science efforts for one of the biggest in-app programmatic exchange in the…
",4.2
80,"Ahmedabad, Gujarat",Data Scientist - Spearline India Pvt. Ltd.,Spearline,,"
Responsibilities: As a data scientist, you'll need to: Work closely with teams across our business to identify issues and use data to propose solutions for…
",
81,"Mumbai, Maharashtra",Sr. Data Scientist/Data Scientist,Fountain9,,"
Any experience on dashboards, data visualizations or big-data analytics products is a plus.
Analyze large volumes of data to extract actionable product and…
",
82,"Chennai, Tamil Nadu",Data Scientist,Six Sigma,"₹48,000 a month","
Job Title Opening for Data Scientist.
Experience - Minimum No.Of Years 2.0.
Experience - Maximum No.Of Years 5.0.
",3.6
83,"Hyderabad, Telangana",Data Scientist & Business Development,Grid Logic Software Private Limited,,"
Proven experience as a data scientist or data analyst.
You will continuously drive data culture and evangelize use of data science in all possible aspects of…
",
84,"Bengaluru, Karnataka",Data Science,HP,,"
Understanding of data structures, data modelling and software architecture.
Experience in implementation of data science projects.
",4.0
85,"Chennai, Tamil Nadu",Senior Data Scientist,OpsCruise,,"
Develop production-ready implementations of proposed solutions across different models AI and ML algorithms, including testing on live customer data to improve…
",
86,"Bengaluru, Karnataka",ISC Analytics Specialist I,Honeywell,,"
Connecting data sources, importing data, and transforming data for Business.
The skills mix of this team is a blend of an exhaustive knowledge of supply chain…
",3.7
87,"Bengaluru, Karnataka",newCIEL/SEL/20122: Data Science,CIEL HR Services,,"
Use high-speed transaction recovery techniques and backup data.
Provide proactive and reactive data management support and training to users.
",4.2
88,"Hyderabad, Telangana",Data Analytics Support Specialist,Deloitte,,"
5+ years of experience in relational databases, data frames, performing data transformations and data modelling.
",4.0
89,"Bengaluru, Karnataka",Sr Machine Learning Team Leader,Siemens,,"
Hands on experience in developing advanced data science models from multiple data sources or digital signals , does end to end code review of Data scientists…
",4.0
90,Remote in India,newMachine Learning Engineer - ASR / Automatic Speech Recogniti...,Zoom,,"
Familiarity with large-scale data processing and distributed systems.
Relevant professional experience with applied data analytics and predictive modelling.
",
91,"Mumbai, Maharashtra","Scientist, Data Science",GXO Logistics,,"
At GXO Logistics, selected candidate will possess a combination of data science skills including data wrangling, advanced programming and statistical analysis …
",
92,"Hybrid remote in Noida, Uttar Pradesh",Data Scientist,BBS,,"
Analyse raw data, assessing quality, cleansing, structuring for downstream processing.
You will be a part of a fast-paced, team environment where you will be…
",
93,Remote in India,Principal Data Scientist - CTO Office - Remote,Icertis,,"
Define the variables and their inter-relationships and extract the data from our data repositories,leveraging infrastructure including Cloud computing solutions…
",3.8
94,"Hyderabad, Telangana",Machine Learning Engineer,Apple,,"
Apple's IS&T team looking for a machine learning expert to help us extract the value from our data.
Responsibilities include data collection, cleaning,…
",4.2
95,"Delhi, Delhi+1 location",CCO Data Analytics Lead,Barclays,,"
Mentor and train junior team members and CCO data specialists in basic and advanced data science and analytics techniques.
",3.9
96,"Pune, Maharashtra",newSenior Data Scientist,Customized Energy Solutions,,"
CES's Emerging Technologies consulting services include a wide range of products, including financial analysis, strategic consulting, and technology due…
",
97,"Navi Mumbai, Maharashtra",Data Scientist,Testbook,,"
Preparing and managing test data.
You train under the best mentors and become an expert in your field in your own right.
Creation of test plans and test cases.
",4.3
98,"Chennai, Tamil Nadu+1 location",Sr. Data Scientist,Incedo,,"
Setting up data and cloud environments to make data science more efficient.
Python/Scala for data pipelines.
Fluency in Python data tools e.g. Pandas, Dask, or…
",
99,"Bengaluru, Karnataka",Manager Data Science,Vahak,,"
Mine and Analyze end to end business data and generate actionable insights.
Identify data driven opportunities to drive optimization and improvement of product…
",
100,"Hyderabad, Telangana","Sr.Engineer, PDE(Deep learning,Data Science,IIOT)",Micron,,"
Identify, diagnose and resolve assembly process related problems.
Coordinate and execute process, equipment and material evaluation / optimization initiatives…
",3.7
101,"Hyderabad, Telangana","STAFF DATA SCIENCE ENGINEER, SMAI",Micron,,"
Developing new or enhancing prior data acquisition and ETL pipelines from various sources into big data ecosystem.
",3.7
148,"Sholinganallur, Chennai, Tamil Nadu+1 location",Lead Analytics Consultant,Wells Fargo,,"
Ensure adherence to data management/ data governance regulations and policies.
Strong experience with data integration, database structures and data warehouses.
",3.7
149,"Bengaluru, Karnataka",Senior Applied Research Scientist,Thomson Reuters,,"
Thomson Reuters Labs in Bangalore is seeking experienced data scientists with a passion for solving problems using state-of-the-art Machine Learning and Natural…
",3.9
151,"Bengaluru, Karnataka+1 location",Senior Lead Analytics Consultant,WELLS FARGO BANK,,"
Advanced experience with data management including data modeling, data integrity and data quality.
Experience in data processing, database programming, and/or…
",3.7
152,"Bengaluru, Karnataka",Senior AI/ML Data Management Specialist,Wells Fargo,,"
Knowledge and understanding of data governance challenges and approaches: metadata, data quality, and data stewardship.
In this role, you will:
",3.7
153,"Bengaluru, Karnataka",AI/ML Lead Product manager,Wells Fargo,,"
Technical software development experience in the field of data driven products is a plus.
Good to have certifications in Data Science, AI/ML or Big data.
",3.7
154,"Remote in Mumbai, Maharashtra+7 locations",Software Developer,Miles Technologies,,"
Work on Supporting and Improving production software systems, including analysis & troubleshooting of reported issues, implementing solutions, performance…
",
155,"Coimbatore South, Tamil Nadu",Full Stack Developer,GoZen Technologies,"₹20,000 - ₹50,000 a month","
Work with development teams and product managers to ideate software solutions.
Design client-side and server-side architecture.
",
156,West Bengal,newFull Stack Developer,AbroadWorks Inc.,₹375 - ₹751 an hour,"
This job is for full-time employment.
Must have good knowledge on MEAN or MERN stack.
For this role, our client is in search of an experienced Full-stack…
",
157,"Remote in Ahmedabad, Gujarat",newSenior NodeJs Developer,Gridcamp Inc.,"₹12,00,000 - ₹14,00,000 a year","
At least five years' experience as a Node.js developer.
Collaborating with front-end developers on the integration of elements.
",
158,"Remote in Bengaluru, Karnataka",Full Stack Developer,TimeBox Solutions,"₹12,00,000 - ₹24,00,000 a year","
Full-time remote work option available;
Developing applications from scratch preferably in Drupal.
Experience with developing medium to large scale application.
",
159,"Remote in Chennai, Tamil Nadu",newSenior Full-Stack Software Engineer (Front-end Focus),Pilot,"₹8,20,000 - ₹15,00,000 a year","
Continually seeking ways to optimize and streamline Pilot’s web application platform to facilitate a seamless implementation experience for our developers and…
",
160,"Delhi, Delhi",Full Stack Developer,Arnowa,"₹2,00,000 - ₹6,00,000 a year","
Experience and understanding of MERN stack (Mongo DB, Express.js, React Js, Node.js) or similar frameworks like AngularJS, Vue Js, D3 Js, etc. will be…
",
161,"Temporarily Remote in Chennai, Tamil Nadu","Junior or Senior Full Stack Software Developer - Angular, No...",Zenya,"₹8,00,000 a year","
Execute and contribute to full-stack web development projects, with an emphasis on.
You should also have great analytical skills and the ability to handle…
",
162,"Remote in Chennai, Tamil Nadu",newSenior Full-Stack Software Engineer (Back-end Focus),Pilot,"₹4,28,524 - ₹14,84,831 a year","
Continually seeking ways to optimize and streamline Pilot’s web application platform to facilitate a seamless implementation experience for our developers and…
",
163,"Temporarily Remote in Kolkata, West Bengal",Full Stack Developer,Codeclouds IT Solutions Pvt. Ltd,"₹4,40,000 - ₹8,00,000 a year","
As a Full-Stack Developer you need to have a thorough understanding and experience in frontend and backend coding languages and frameworks like Node.js, Angular…
",4.8
164,"Bengaluru, Karnataka",newFull Stack Developer (NodeJS & ReactJS),Harivara Global Service Pvt. Ltd.,"₹7,00,000 - ₹12,00,000 a year","
Full-stack development: 1 year (Preferred).
Designing the Frontend & the Backend Part of an Automated system.
5.Learn and understand user interactions.
",
165,"Bengaluru, Karnataka",PHP Web Developer,What Digital Technologies Pvt Ltd,"₹75,000 - ₹1,00,000 a month","
Full stack developers should be given preference for our requirement.
Development based on PHP7 (OOP'S), MySQL, and Javascript.
",
166,Remote in West Bengal,newHome-based ReactJS Developer,AbroadWorks Inc.,₹371 - ₹742 an hour,"
Experience with popular React.js workflows (such as Flux or Redux)Preferably a full-stack developer.
As a US-based company who specializes in HR Services,…
",
167,"Mumbai, Maharashtra",full stack developer / whmcs developer,full Stack developer,"₹1,05,861 - ₹1,50,000 a month","
Participates in software design meetings and works with other developers on projects.
Demonstrates leadership by mentoring other developers, as well as other…
",
168,"Remote in Hyderabad, Telangana",Full Stack Developer Node,LayerCake,"₹70,000 - ₹1,00,000 a month","
Prominent skills in full-stack NodeJS development.
Mentor and provide leadership to other developers either directly or via quality solution design and…
",
169,Remote in India,Senior Software Developer (Home-Based),AbroadWorks Inc.,"₹1,125 - ₹1,875 an hour","
Preferably a full-stack developer.
As a US-based company who specializes in HR Services, AbroadWorks focuses on sourcing talented foreign professionals, for…
",
170,Remote,Full Stack Java Angular Developer - 2 Yr Contract | 0-2 year...,Fantail Technologies Pvt. Ltd.,"₹4,00,000 - ₹8,00,000 a year","
Knowledge of full-stack development.
Knowledge and experience in MEAN stack.
Fantail Technologies Pvt. Ltd., Pune, is the Indian branch of an American…
",
171,"Bengaluru, Karnataka",Python/Django Developer,K12 TECHNO SERVICES PRIVATE LIMITED,"₹35,000 - ₹1,00,000 a month","
7. Knowledge of web stack - javascript, html, web frameworks like React.js is a plus.
1. Help design and implement functional requirements.
",
172,"Temporarily Remote in Bengaluru, Karnataka",newReactJS Developer,RewardUp Software Private Limited,"₹8,50,000 - ₹12,00,000 a year","
RewardUp is a customer engagement platform focusing on artificial intelligence and automation.
Design and build reusable front-end components to build pixel…
",
173,"Remote in Mumbai, Maharashtra",newFull Stack Web Developer,Allure Esthetic,"₹9,00,000 - ₹13,76,767 a year","
This is a full time remote work from home position.
You must speak and write excellent English for this job and have at least 5 years of experience in:
",
174,"Goa, Goa",newJavaScript Developer,ENIGMASOFT TECHNOLOGIES PRIVATE LIMITED,"₹2,50,000 a year","
3+ years of experience as a Software Engineer 2+ years of as front-end or full stack or backend developer (Typescript, Node.js, ideally React).
",
175,"Chennai, Tamil Nadu+3 locations",Software Engineer,Optum,,"
Full Stack Developer who can develop applications using Java and any RDBMS databases like Oracle, Postgres, etc.
Experience conducting design and code reviews.
",3.4
176,"Remote in Kochi, Kerala",newpython/full stack developer,iNFOX Technologies,"₹12,000 - ₹18,000 a month","
Freshers are highly preferred for the post.
Candidates within Kerala are needed.
Job Types: Full-time, Regular / Permanent.
",4.0
177,"Chennai, Tamil Nadu",newFull Stack Developer,Lead Integrated Business services Pvt Ltd,"₹3,29,402 - ₹13,69,478 a year","
Strong organizational and project management skills.
Proficiency with fundamental front-end languages such as HTML, CSS, and JavaScript.
",
178,"Bengaluru, Karnataka",newFull Stack Developer,Intel,,"
Minimum of 5+ Years experience full stack development including .
Designs, develops, integrates, tests, validates, and/or debugs software across multiple layers…
",4.1
179,"Chennai, Tamil Nadu",newFull Stack Developer,magnazeal HR Solutions,"₹3,29,436 - ₹13,69,460 a year","
Should have experience in MVC, JAVA, J2EE • Should have 5 to 8 years of experience in Java Development using JSP, Webservices, WebAPI, etc.
",
180,"Mumbai, Maharashtra","new""Java/.Net Full stack Developer""",Larsen & Toubro Infotech Limited,,"
Ability to work independently as well as collaborate with a small team of developers on various work streams and guide them on development tasks, perform code…
",3.7
181,"Bengaluru, Karnataka","newSoftware Engineer, University Graduate, 2023",Google,,"
We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push…
",4.3
182,"Remote in Vijayanagar, Bengaluru, Karnataka",Full Stack Developer,Schmid vision soft,"₹30,000 - ₹1,10,000 a month","
1+ years experience as a full-stack developer with excellent development skills in JavaScript (preferable).
Shaping, developing, and deploying machine learning…
",
183,"Bengaluru, Karnataka",newMicrosoft Power BI Developer,Bosch Group,,"
Experience: 3+ years of experience working as a Power BI developer (rare exceptions for highly skilled developers).
",4.1
184,"Temporarily Remote in Chennai, Tamil Nadu",newSenior Software Engineer (Full Stack),Blackboard,,"
Proficiency with the Java stack, SQL databases, and web application development.
Embracing test development as an integral part of what you deliver as a…
",3.3
185,Remote,newFull Stack Developer,ICAV Tech,,"
Execute full software development life cycle (SDLC).
ICAV Tech is looking f an experienced Software Engineer with expertise in JavaScript & Typescript Language.
",
186,"Chennai, Tamil Nadu",newFull Stack Developer,SPK Systems India Private Limited,"₹3,29,402 - ₹13,69,478 a year","
As a Full Stack Developer, you should be comfortable around both front-end and back-end coding languages, development frameworks and third-party libraries.
",
187,"Chennai, Tamil Nadu+6 locations",newJava Full Stack Development Application Developer,Accenture,,"
15 years of full time education.
Key Responsibilities : 1 Involved couple of development project throughout his/her carrier and keen understanding in SDLC…
",4.0
188,"Chennai, Tamil Nadu",newJava Developer,Resourcetree GLobal Services,"₹10,00,000 - ₹15,00,000 a year","
He/ She should be willing to ramp up on cloud tech stacks when the opportunities arise.
Spring boot, Core Java, Rest API.
Core Java: 3 years (Required).
",
189,Temporarily Remote,newMEAN Stack Developer,Jivrus Technologies,"₹10,000 - ₹15,000 a month","
Program well-designed, maintainable, testable and efficient code.
Perform white box and black box testing.
Demonstrate the development and testing results to…
",
